0,2.81E-08,4.83E-08,1.63E-08
0,2.33E-08,9.00E-08,2.50E-08
0,2.54E-08,6.69E-08,1.69E-08
0,1.99E-08,1.29E-07,2.33E-08
4.57E-08,0.00E+00,3.84E-08,1.52E-07
9.64E-08,0.00E+00,3.81E-08,1.73E-07
8.52E-08,0.00E+00,6.08E-08,1.99E-06
3.47E-08,0.00E+00,4.68E-08,1.35E-07
9.23E-08,5.77E-08,0.00E+00,4.44E-08
1.36E-07,3.68E-08,0.00E+00,3.34E-08
1.45E-07,4.35E-08,0.00E+00,2.95E-08
1.34E-07,4.73E-08,0.00E+00,3.64E-08
2.84E-08,1.80E-07,1.86E-08,0.00E+00
4.93E-08,8.95E-08,1.79E-08,0.00E+00
3.81E-08,1.89E-07,3.25E-08,0.00E+00
2.48E-08,1.28E-07,2.04E-08,0.00E+00
0.00E+00,3.21E-08,6.66E-08,1.52E-08
0.00E+00,3.14E-08,8.98E-08,2.50E-08
0.00E+00,2.88E-08,9.37E-08,2.16E-08
0.00E+00,3.24E-08,1.89E-07,3.80E-08
3.46E-08,0.00E+00,2.93E-08,1.16E-07
4.93E-08,0.00E+00,5.30E-08,1.52E-07
7.24E-08,0.00E+00,8.40E-08,1.80E-06
2.97E-08,0.00E+00,4.40E-08,1.44E-07
1.50E-06,7.89E-08,0.00E+00,7.22E-08
1.68E-06,5.54E-08,0.00E+00,1.17E-07
1.77E-06,8.13E-08,0.00E+00,7.09E-08
1.98E-06,6.27E-08,0.00E+00,8.47E-08
1.80E-08,8.78E-08,1.84E-08,0.00E+00
2.22E-08,5.51E-08,2.16E-08,0.00E+00
1.96E-08,9.41E-08,2.81E-08,0.00E+00
1.81E-08,6.70E-08,2.56E-08,0.00E+00
0.00E+00,6.00E-09,1.52E-08,5.15E-09
0.00E+00,1.74E-08,7.49E-08,3.29E-08
0.00E+00,2.21E-08,5.55E-08,2.17E-08
0.00E+00,1.80E-08,8.93E-08,5.06E-08
5.52E-08,0.00E+00,2.85E-08,1.18E-07
6.41E-08,0.00E+00,3.97E-08,1.56E-07
1.17E-07,0.00E+00,5.60E-08,1.67E-06
3.41E-08,0.00E+00,3.74E-08,1.37E-07
1.34E-07,4.13E-08,0.00E+00,4.56E-08
1.58E-07,3.90E-08,0.00E+00,6.61E-08
1.53E-07,5.33E-08,0.00E+00,4.87E-08
1.73E-07,3.90E-08,0.00E+00,9.51E-08
2.10E-08,1.05E-07,1.72E-08,0.00E+00
3.25E-08,7.32E-08,1.74E-08,0.00E+00
2.58E-08,9.02E-08,3.24E-08,0.00E+00
2.41E-08,9.06E-08,2.19E-08,0.00E+00
0.00E+00,2.15E-08,6.77E-08,2.84E-08
0.00E+00,1.69E-08,1.05E-07,1.97E-08
0.00E+00,1.89E-08,8.92E-08,1.91E-08
0.00E+00,1.80E-08,1.81E-07,2.77E-08
3.40E-08,0.00E+00,3.64E-08,9.81E-08
4.38E-08,0.00E+00,4.18E-08,1.35E-07
7.05E-08,0.00E+00,8.11E-08,1.46E-06
4.30E-08,0.00E+00,5.61E-08,9.09E-08
9.46E-08,3.47E-08,0.00E+00,3.26E-08
1.17E-07,2.78E-08,0.00E+00,5.54E-08
1.15E-07,2.98E-08,0.00E+00,3.57E-08
1.52E-07,4.03E-08,0.00E+00,4.64E-08
2.85E-08,6.78E-08,2.15E-08,0.00E+00
1.75E-08,5.04E-08,1.98E-08,0.00E+00
1.59E-08,6.56E-08,3.25E-08,0.00E+00
1.70E-08,4.92E-08,2.82E-08,0.00E+00
